id,Country,iso3,State,Region,Date,Measure_L1,Measure_L2,Measure_L3,Measure_L4,Status,Comment,Source
1,Albania,ALB,Albania,Albania,2020-02-25,Risk communication,Educate and actively communicate with the public,Encourage self-initiated quarantine,Travelers returning from high risk areas,,"""The head of the National Medical Emergency Center (NMEC) Skender Brataj... called on the citizens coming from the geographical areas where the coronavirus appeared but have no flu symptoms to stay at home, in conditions of frequent ventilation, to avoid contact with other family members and to wear a mask.""",https://balkaneu.com/albania-national-medical-emergency-center-hands-out-coronavirus-instructions-and-increases-hospital-budget/?fbclid=IwAR0iSbB9XWv8cCaFWQjMl0l7oyEmnoBnBWFFtDidbci7RuoDUNcgYK1zgDQ
2,Albania,ALB,Albania,Albania,2020-02-25,Resource allocation,Crisis management plans,Financial aid for health system,Funds to increase availability of PPE,,"""Albanian Ministry of Health and Social Protection met with the Technical Expert Committee, and decided to increase its hospital budget by $1 million, to increase the stock of personal protection equipment.""",https://balkaneu.com/albania-national-medical-emergency-center-hands-out-coronavirus-instructions-and-increases-hospital-budget/?fbclid=IwAR0iSbB9XWv8cCaFWQjMl0l7oyEmnoBnBWFFtDidbci7RuoDUNcgYK1zgDQ
3,Albania,ALB,Albania,Albania,2020-02-25,Healthcare and public health capacity,Adapt procedures for patient management,Implement triage procedures,Health hotline,,"He clarified that when people notice symptoms, they should call National Emergency Number 127 while explaining when they should treat it as a common flu by staying home. “By the time we receive a call we have figured out who the suspect is. It has been designated by the World Health Organization according to the system reported by each country about its exposure to coronavirus”, Brataj said.",https://balkaneu.com/albania-national-medical-emergency-center-hands-out-coronavirus-instructions-and-increases-hospital-budget/?fbclid=IwAR0iSbB9XWv8cCaFWQjMl0l7oyEmnoBnBWFFtDidbci7RuoDUNcgYK1zgDQ
4,Albania,ALB,Albania,Albania,2020-02-25,"Case identification, contact tracing and related measures",Airport health check,Specific health channel for travellers,National passengers arriving from China,,""" Albanian citizens arriving from China, Singapore, Iran, South Korea or Italy, to call the same number, so that a medical group with protective suits can escort them to an infections hospital for testing, with all samples sent to the Public Health Institute.""",https://balkaneu.com/albania-national-medical-emergency-center-hands-out-coronavirus-instructions-and-increases-hospital-budget/?fbclid=IwAR0iSbB9XWv8cCaFWQjMl0l7oyEmnoBnBWFFtDidbci7RuoDUNcgYK1zgDQ
5,Albania,ALB,Albania,Albania,2020-03-08,Travel restriction,Airport restriction,Cancellation of international flights,Partial cancellation of international flights: Northern Italy,,Government stopped all flights with quarantines areas of Northern Italy until 3rd April.,https://tvklan.al/ndalohen-fluturimet-me-10-destinacione-drejt-italise/
6,Albania,ALB,Albania,Albania,2020-03-08,Social distancing,Closure of educational institutions,Complete closure of kindergartens,,,Government shuts down schools for two weeks,https://uk.reuters.com/article/uk-health-coronavirus-albania/albania-halts-schools-italy-flights-ferries-over-coronavirus-idUKKBN20W01E?il=0
7,Albania,ALB,Albania,Albania,2020-03-08,Social distancing,Closure of educational institutions,Complete closure of primary and secondary schools,,,Government shuts down schools for two weeks,https://uk.reuters.com/article/uk-health-coronavirus-albania/albania-halts-schools-italy-flights-ferries-over-coronavirus-idUKKBN20W01E?il=0
8,Albania,ALB,Albania,Albania,2020-03-08,Social distancing,Closure of educational institutions,Complete closure of universities,,,Government shuts down schools for two weeks,https://uk.reuters.com/article/uk-health-coronavirus-albania/albania-halts-schools-italy-flights-ferries-over-coronavirus-idUKKBN20W01E?il=0
9,Albania,ALB,Albania,Albania,2020-03-08,Social distancing,Small gathering cancellation,Complete prohibition of gathering,,,"""authorities had also ordered cancellations of all large public gatherings including cultural events.""",https://uk.reuters.com/article/uk-health-coronavirus-albania/albania-halts-schools-italy-flights-ferries-over-coronavirus-idUKKBN20W01E?il=0
10,Albania,ALB,Albania,Albania,2020-03-08,Social distancing,Mass gathering cancellation,Sport events,,,"""Rama said authorities had also ordered cancellations of all large public gatherings including cultural events and were asking sporting federations to cancel scheduled matches..""",https://uk.reuters.com/article/uk-health-coronavirus-albania/albania-halts-schools-italy-flights-ferries-over-coronavirus-idUKKBN20W01E?il=0
