"","Measure_L1","Measure_L2"
"1","Travel restriction","Border restriction"
"2","Travel restriction","Cancellation of international flights"
"6","Social distancing","Closure of educational institutions"
"9","Risk communication","Educate and actively communicate with the public"
"11","Healthcare and public health capacity","Enhance healthcare capacity - Funds"
"13","Case identification, contact tracing and related measures","Enhance detection system"
"14","Travel restriction","Individual movement restrictions"
"15","Social distancing","Small gathering cancellation"
"17","Social distancing","Mass gathering cancellation"
"24","Travel restriction","National lockdown"
"25","Healthcare and public health capacity","Scale up emergency response mechanisms"
"26","Case identification, contact tracing and related measures","Specific health channel for travellers"
"27","Travel restriction","Stop public transports"
"30","Social distancing","Curfew"
"32","Healthcare and public health capacity","Activate notification of cases"
"33","Healthcare and public health capacity","Activate emergency response mechanisms"
"34","Risk communication","Actively communicate with healthcare professionals"
"35","Case identification, contact tracing and related measures","Airport health check"
"40","Travel restriction","Airport restriction"
"41","Case identification, contact tracing and related measures","Border health check"
"44","Risk communication","Call for return of nationals living abroad"
"51","Resource allocation","Crisis management plans"
"58","Healthcare and public health capacity","Enhance emergency response mechanisms"
"60","Healthcare and public health capacity","Enhance laboratory testing"
"66","Case identification, contact tracing and related measures","Isolation of cases"
"71","Social distancing","Measures for special populations"
"74","Travel restriction","Partial cancellation of international flights"
"75","Social distancing","Partial closure of educational institutions"
"76","Social distancing","Return operation of nationals living abroad"
"77","Social distancing","Return operation of nationals living in regions at risk"
"90","Travel restriction","Travel restriction to high-risk areas"
"91","Risk communication","Actively communicate with stakeholders"
"92","Travel restriction","Cordon sanitaire"
"95","Travel restriction","Airports closing for domestic flights"
"97","Healthcare and public health capacity","Increase patient capacity"
"105","Healthcare and public health capacity","Increase availability of PPE"
"113","Travel restriction","Non-essential travels forbidden"
"121","Case identification, contact tracing and related measures","Tracing and monitoring"
"122","Case identification, contact tracing and related measures","Quarantine"
"158","Healthcare and public health capacity","Reduce the burden on health systems"
"171","Healthcare and public health capacity","Research"
"173","Travel restriction","Denial entry to boats with more than 100 passengers"
"182","Resource allocation","Fixing maximum price for necessity goods"
"194","Risk communication","Communicate with special populations"
"223","Healthcare and public health capacity","Increase in medical supplies and equipment"
"264","Healthcare and public health capacity","Case management"
"345","Social distancing","Mandatory use of masks"
"351","Healthcare and public health capacity","Repurpose hospitals"
"361","Risk communication","Use of public transport"
"377","Social distancing","Public transport"
"385","Travel restriction","Train transport restrictions"
"394","Social distancing","Obligatory confinement"
"404","Case identification, contact tracing and related measures","Scale up the system"
"405","Returning to normal life","Support for the return to normal life"
"432","Case identification, contact tracing and related measures","Treatment of patients should not be compromised"
"436","Environmental measures","Environmental cleaning and disinfection"
"445","Healthcare and public health capacity","Precautions for handling and disposal of dead bodies"
"456","Case identification, contact tracing and related measures","Surveillance"
"461","Social distancing","Work safety protocols"
"468","Social distancing","Mandatory use of masks in special cases"
"470","Returning to normal life","Regional traffic light"
"482","Healthcare and public health capacity","Extend notification of cases"
"511","Social distancing","Special measures for certain establishments"
"549","Travel restriction","Airports closing for all international flights"
"565","Healthcare and public health capacity","Increase healthcare workforce"
"575","Travel restriction","Outgoing oversea travel ban"
"593","Social distancing","Closure of non-essential shops"
"626","Resource allocation","Fixing price for specific protective products"
"725","Healthcare and public health capacity","Enhance hand hygiene"
"749","Risk communication","Travel alert"
"888","Resource allocation","The government provides food assistance"
"968","Social distancing","Recommendation for home office"
"1022","Social distancing","Implement the 2m distance"
"1029","Social distancing","Return operation of nationals living in Hubei"
"1062","Healthcare and public health capacity","Measures for blood donation"
"1092","Case identification, contact tracing and related measures","Increase data availability"
"1108","Resource allocation","Receive international help"
"1120","Social distancing","Measure for cashless payments"
"1121","Resource allocation","Provide international help"
"1177","Case identification, contact tracing and related measures","Specific health channel for travellers "
"1258","Healthcare and public health capacity","Increase isolation and quarantine facilities"
"1311","Case identification, contact tracing and related measures","Health check at train stations"
"1331","Resource allocation","Financial allocation"
"1427","Healthcare and public health capacity","Enhance primary healthcare capacity"
"1473","Travel restriction","Cancellation of international ship transportation of passengers"
"1499","Travel restriction","Denial entry of travellers from China"
"1506","Travel restriction","Deportation of Chinese nationals"
"1747","Case identification, contact tracing and related measures","Increase isolation and quarantine facilities"
"1760","Resource allocation","Enforce lockdown"
"1762","Healthcare and public health capacity","Mandatory use of masks in special cases"
"1865","Resource allocation","Setting price for specific protective products"
"2214","Travel restriction","Commercial flights suspended"
"2290","Resource allocation","Mobilize army and police to support application of laws related to covid-19 control"
"2292","Resource allocation","Administrative procedures facilitated"
"2304","Travel restriction","Restriction of freight transport"
"2305","Resource allocation","Ban export of necessity goods"
"2516","Healthcare and public health capacity","Enhance healthcare capacity"
"2538","Case identification, contact tracing and related measures","Restriction in testing"
"2672","Risk communication","Measures for special populations"
"2684","Travel restriction","Outgoing domestic travel ban"
"3017","Resource allocation","Rationing PPE for population"
"3089","Social distancing","Special measures for certain places"
