"parent","link","child","value"
"Case identification, contact tracing and related measures","L1-L2","Activate case notification",20
"Case identification, contact tracing and related measures","L1-L2","Airport health check",93
"Case identification, contact tracing and related measures","L1-L2","Border health check",56
"Case identification, contact tracing and related measures","L1-L2","Enhance detection system",67
"Case identification, contact tracing and related measures","L1-L2","Isolation of cases",33
"Case identification, contact tracing and related measures","L1-L2","Public transport health check",4
"Case identification, contact tracing and related measures","L1-L2","Quarantine",180
"Case identification, contact tracing and related measures","L1-L2","Restricted testing",8
"Case identification, contact tracing and related measures","L1-L2","Surveillance",26
"Case identification, contact tracing and related measures","L1-L2","Tracing and tracking",66
"Environmental measures","L1-L2","Enhance hygiene conditions",1
"Environmental measures","L1-L2","Environmental cleaning and disinfection",61
"Healthcare and public health capacity","L1-L2","Adapt procedures for patient management",77
"Healthcare and public health capacity","L1-L2","Enhance laboratory testing capacity",89
"Healthcare and public health capacity","L1-L2","Increase availability of PPE",153
"Healthcare and public health capacity","L1-L2","Increase healthcare workforce",148
"Healthcare and public health capacity","L1-L2","Increase in medical supplies and equipment",83
"Healthcare and public health capacity","L1-L2","Increase isolation and quarantine facilities",28
"Healthcare and public health capacity","L1-L2","Increase patient capacity",105
"Healthcare and public health capacity","L1-L2","Personal protective measures",85
"Healthcare and public health capacity","L1-L2","Repurpose hospitals",14
"Healthcare and public health capacity","L1-L2","Research",29
"Resource allocation","L1-L2","Activate or establish emergency response",214
"Resource allocation","L1-L2","Crisis management plans",442
"Resource allocation","L1-L2","Economic measure to stimulate consumption",4
"Resource allocation","L1-L2","Measures to ensure continuity of services",3
"Resource allocation","L1-L2","Measures to ensure security of supply",97
"Resource allocation","L1-L2","Police and army interventions",121
"Resource allocation","L1-L2","Provide international help",19
"Resource allocation","L1-L2","Receive international help",15
"Resource allocation","L1-L2","The government provide assistance to vulnerable populations",43
"Returning to normal life","L1-L2","Access to non-essential/critical healthcare services",14
"Returning to normal life","L1-L2","Actively communicate with healthcare professionals",1
"Returning to normal life","L1-L2","Actively communicate with managers",30
"Returning to normal life","L1-L2","Educate and actively communicate with the public",1
"Returning to normal life","L1-L2","Exemption of quarantine",17
"Returning to normal life","L1-L2","Lift airport restrictions",6
"Returning to normal life","L1-L2","Lift personal protective measures",3
"Returning to normal life","L1-L2","Lift restriction on individual movements",23
"Returning to normal life","L1-L2","Lift restriction on mass gatherings",60
"Returning to normal life","L1-L2","Lift restriction on public transports",2
"Returning to normal life","L1-L2","Lift restriction on small gatherings",90
"Returning to normal life","L1-L2","Lift travel restriction",12
"Returning to normal life","L1-L2","Phase out emergency management",12
"Returning to normal life","L1-L2","Re-opening of educational institutions",41
"Returning to normal life","L1-L2","Re-opening of land borders",7
"Returning to normal life","L1-L2","Resume visits in establishments hosting vulnerable populations",1
"Risk communication","L1-L2","Actively communicate with healthcare professionals",60
"Risk communication","L1-L2","Actively communicate with managers",113
"Risk communication","L1-L2","Educate and actively communicate with the public",787
"Risk communication","L1-L2","Travel alert and warning",114
"Social distancing","L1-L2","Closure of educational institutions",332
"Social distancing","L1-L2","Mass gathering cancellation",631
"Social distancing","L1-L2","Measures for public transport",20
"Social distancing","L1-L2","Measures for special populations",153
"Social distancing","L1-L2","Return operation of nationals",83
"Social distancing","L1-L2","Small gathering cancellation",312
"Social distancing","L1-L2","Special measures for certain establishments",132
"Social distancing","L1-L2","Work safety protocols",10
"Travel restriction","L1-L2","Airport restriction",148
"Travel restriction","L1-L2","Border restriction",195
"Travel restriction","L1-L2","Cordon sanitaire",47
"Travel restriction","L1-L2","Individual movement restrictions",130
"Travel restriction","L1-L2","National lockdown",39
"Travel restriction","L1-L2","Port and ship restriction",24
"Travel restriction","L1-L2","Public transport restriction",34
"Access to non-essential/critical healthcare services","L2-L3","Lift suspension on home birth",1
"Access to non-essential/critical healthcare services","L2-L3","One-to-one services allowed",1
"Access to non-essential/critical healthcare services","L2-L3","Re-opening of medical and paramedical centers",12
"Activate case notification","L2-L3","Covid-19 as a notifiable disease",18
"Activate case notification","L2-L3","Mandatory report of test results by laboratories",1
"Activate case notification","L2-L3","Speed notification",1
"Activate or establish emergency response","L2-L3","Declare state of emergency",84
"Activate or establish emergency response","L2-L3","Emergency laws",6
"Activate or establish emergency response","L2-L3","Exceptional change to work law",3
"Activate or establish emergency response","L2-L3","Relaxation of data protection law",8
"Activate or establish emergency response","L2-L3","Repurpose domestic forces",1
"Activate or establish emergency response","L2-L3","Risk management plan",109
"Activate or establish emergency response","L2-L3","Suspension of the requirement for nutrient management plan",1
"Activate or establish emergency response","L2-L3","Transfer or enforcement of decisional and legal power",2
"Actively communicate with healthcare professionals","L2-L3","Advisory on the use of hydroxy-chloroquin as prophylaxis for SARS-CoV-2 infection",1
"Actively communicate with healthcare professionals","L2-L3","Answer to questions",1
"Actively communicate with healthcare professionals","L2-L3","Communicate with social service professionals",1
"Actively communicate with healthcare professionals","L2-L3","Encourage hand hygiene",4
"Actively communicate with healthcare professionals","L2-L3","Encourage healthcare workwers to avoid travel",1
"Actively communicate with healthcare professionals","L2-L3","Guidelines",13
"Actively communicate with healthcare professionals","L2-L3","Guidelines for re-opening of medical and paramedical centers",2
"Actively communicate with healthcare professionals","L2-L3","Guidelines: help finding child care providers",1
"Actively communicate with healthcare professionals","L2-L3","Health agencies and emergency healthcare",13
"Actively communicate with healthcare professionals","L2-L3","Provide documentation",5
"Actively communicate with healthcare professionals","L2-L3","Recommend to prepare to receive patients",2
"Actively communicate with healthcare professionals","L2-L3","Recommendations for vulnerable populations",1
"Actively communicate with healthcare professionals","L2-L3","Recommendations to hospital and medical institutions",2
"Actively communicate with healthcare professionals","L2-L3","Recommendations to physicians",1
"Actively communicate with healthcare professionals","L2-L3","Role of Frontline Workers in Prevention and Management of CORONA VIRUS",1
"Actively communicate with healthcare professionals","L2-L3","Sensitization of hospital, medico-social and liberal health professionals",11
"Actively communicate with healthcare professionals","L2-L3","With medical doctors",1
"Actively communicate with managers","L2-L3","",1
"Actively communicate with managers","L2-L3","Advice for certain workers",5
"Actively communicate with managers","L2-L3","Answer to questions",3
"Actively communicate with managers","L2-L3","Call on the religious authorities",3
"Actively communicate with managers","L2-L3","Campaign for domestic medical equipement",1
"Actively communicate with managers","L2-L3","Daily press conference",1
"Actively communicate with managers","L2-L3","Direct government communication",4
"Actively communicate with managers","L2-L3","Discourage non-essential travels",1
"Actively communicate with managers","L2-L3","Encourage environmental disinfection",4
"Actively communicate with managers","L2-L3","Encourage event cancellation",2
"Actively communicate with managers","L2-L3","Encourage hand hygiene",3
"Actively communicate with managers","L2-L3","Encourage stakeholders to provide assistance to vulnerable populations",1
"Actively communicate with managers","L2-L3","Encourage to reduce burden on public transport",1
"Actively communicate with managers","L2-L3","Encourage use of masks",1
"Actively communicate with managers","L2-L3","Flexibilization of working hours/school hours",1
"Actively communicate with managers","L2-L3","For government officers",1
"Actively communicate with managers","L2-L3","Guideline for public officers",1
"Actively communicate with managers","L2-L3","Guidelines",23
"Actively communicate with managers","L2-L3","Guidelines for re-opening gyms and fitness centers",1
"Actively communicate with managers","L2-L3","Guidelines for re-opening of cultural institutions",4
"Actively communicate with managers","L2-L3","Guidelines for re-opening of educational institutions and leisure facilities",12
"Actively communicate with managers","L2-L3","Guidelines for re-opening of retail shops and liberal profession",5
"Actively communicate with managers","L2-L3","Guidelines for re-opening restaurants/bars/cafes",1
"Actively communicate with managers","L2-L3","Guidelines for re-opening short-term accommodations",2
"Actively communicate with managers","L2-L3","Guidelines for resuming commercial activity",1
"Actively communicate with managers","L2-L3","Guidelines for resuming sport activities",1
"Actively communicate with managers","L2-L3","Guidelines for work-safety protocols",2
"Actively communicate with managers","L2-L3","Leaflets",1
"Actively communicate with managers","L2-L3","Media",1
"Actively communicate with managers","L2-L3","Military personal",2
"Actively communicate with managers","L2-L3","Organize notification",1
"Actively communicate with managers","L2-L3","Postpone mass gathering",1
"Actively communicate with managers","L2-L3","Prioritization of PPE",1
"Actively communicate with managers","L2-L3","Promote hygiene measures and social distancing",3
"Actively communicate with managers","L2-L3","Promote social distancing measures at workplace",3
"Actively communicate with managers","L2-L3","Promote use of a smartphone application against Corona",1
"Actively communicate with managers","L2-L3","Promote workplace safety measures",1
"Actively communicate with managers","L2-L3","Provides recommendation for business continuity",2
"Actively communicate with managers","L2-L3","Recommendations for kindergartens",1
"Actively communicate with managers","L2-L3","Recommendations for people managing public places",1
"Actively communicate with managers","L2-L3","Recommendations for schools",4
"Actively communicate with managers","L2-L3","Recommendations for universities",1
"Actively communicate with managers","L2-L3","Recommendations for work safety protocols",21
"Actively communicate with managers","L2-L3","Risk assessment before an event",11
"Actively communicate with managers","L2-L3","Strengthen border control",1
"Adapt procedures for patient management","L2-L3","Case management",13
"Adapt procedures for patient management","L2-L3","Digital assistant",1
"Adapt procedures for patient management","L2-L3","Ease prescription of regular medical products for patients",17
"Adapt procedures for patient management","L2-L3","Implement triage procedures",18
"Adapt procedures for patient management","L2-L3","No more patient accepted in rehabilitation centers",3
"Adapt procedures for patient management","L2-L3","Simplification of the health journey",25
"Airport health check","L2-L3","Health certificate requested at airport",9
"Airport health check","L2-L3","Health questionnaire in the plane or at the airport",11
"Airport health check","L2-L3","Health screening at the airport",15
"Airport health check","L2-L3","Specific health channel for travellers",14
"Airport health check","L2-L3","Temperature screening at airport",36
"Airport health check","L2-L3","Test travellers with fever or symptoms",8
"Airport restriction","L2-L3","Airports closed",7
"Airport restriction","L2-L3","Ban on all air traffic from countries outside the European Union",1
"Airport restriction","L2-L3","Boarding from Taiwan prohibited",1
"Airport restriction","L2-L3","Cancellation of domestic flights",7
"Airport restriction","L2-L3","Cancellation of international flights",76
"Airport restriction","L2-L3","Conditional entry of citizens and EU citizens",2
"Airport restriction","L2-L3","Entry ban to passengers from high-risk areas other than China",2
"Airport restriction","L2-L3","Entry ban to passengers from non EU citizens",2
"Airport restriction","L2-L3","Landing bans on aircrafts from high risk areas",45
"Airport restriction","L2-L3","Measures to limit contact to high risk populations",1
"Airport restriction","L2-L3","Some airports dedicated to receive international flights",3
"Airport restriction","L2-L3","Transiting Taiwan by air not allowed",1
"Border health check","L2-L3","Health certificate requested to enter the country",7
"Border health check","L2-L3","Health questionnaire at the border",11
"Border health check","L2-L3","Health screening at the border",8
"Border health check","L2-L3","Temperature screening at the border",17
"Border health check","L2-L3","Test at the border",13
"Border restriction","L2-L3","",2
"Border restriction","L2-L3","Ban on passenger transport from China",2
"Border restriction","L2-L3","Ban on road passenger transport from high risk areas",1
"Border restriction","L2-L3","Border control",8
"Border restriction","L2-L3","Close land border to prevent virus spread",2
"Border restriction","L2-L3","Conditional entry of citizens",2
"Border restriction","L2-L3","Conditional entry of persons from neighboring countries",2
"Border restriction","L2-L3","Entry ban for symptomatic people and case contacts",1
"Border restriction","L2-L3","Entry ban to infected persons",1
"Border restriction","L2-L3","Entry ban to non-citizens",39
"Border restriction","L2-L3","Entry ban to non EU citizens",2
"Border restriction","L2-L3","Entry ban to people from China",18
"Border restriction","L2-L3","Entry ban to people from high-risk areas other than China",43
"Border restriction","L2-L3","Entry ban to people with a travel history to China",4
"Border restriction","L2-L3","Entry ban to refugees",3
"Border restriction","L2-L3","Force departure of Chinese nationals",5
"Border restriction","L2-L3","Land border controls",16
"Border restriction","L2-L3","Land borders closed",18
"Border restriction","L2-L3","Restriction of freight transport",1
"Border restriction","L2-L3","Suspension of passenger railway transports crossing the country border",1
"Border restriction","L2-L3","Temporary reduction of service",2
"Border restriction","L2-L3","Total entry ban",5
"Border restriction","L2-L3","Travel ban to high-risk areas",17
"Closure of educational institutions","L2-L3","Cancellation of exams",4
"Closure of educational institutions","L2-L3","Closure of adult educational schools",1
"Closure of educational institutions","L2-L3","Complete closure of all educational institutions",44
"Closure of educational institutions","L2-L3","Complete closure of kindergartens",68
"Closure of educational institutions","L2-L3","Complete closure of primary and secondary schools",101
"Closure of educational institutions","L2-L3","Complete closure of research institutes",1
"Closure of educational institutions","L2-L3","Complete closure of scientific institutions",1
"Closure of educational institutions","L2-L3","Complete closure of secondary schools",1
"Closure of educational institutions","L2-L3","Complete closure of universities",45
"Closure of educational institutions","L2-L3","Extracurriculars cancelled",5
"Closure of educational institutions","L2-L3","Partial closure of educational institutions",14
"Closure of educational institutions","L2-L3","Partial closure of kindergartens",4
"Closure of educational institutions","L2-L3","Partial closure of primary and secondary schools",16
"Closure of educational institutions","L2-L3","Partial closure of universities",9
"Closure of educational institutions","L2-L3","Reduction of excursions, out-of-house events",10
"Closure of educational institutions","L2-L3","Restrictions on exams",6
"Closure of educational institutions","L2-L3","Rules for exams",2
"Cordon sanitaire","L2-L3","",7
"Cordon sanitaire","L2-L3","More than one city",7
"Cordon sanitaire","L2-L3","More than one region",2
"Cordon sanitaire","L2-L3","One city",12
"Cordon sanitaire","L2-L3","One hotel",1
"Cordon sanitaire","L2-L3","One municipality",2
"Cordon sanitaire","L2-L3","One province",1
"Cordon sanitaire","L2-L3","One Province",2
"Cordon sanitaire","L2-L3","One region",9
"Cordon sanitaire","L2-L3","One state",1
"Cordon sanitaire","L2-L3","Partial",2
"Cordon sanitaire","L2-L3","Voluntary lockdown of affected cities and provinces",1
"Crisis management plans","L2-L3","",1
"Crisis management plans","L2-L3","Administrative procedures facilitated",14
"Crisis management plans","L2-L3","Develop all-of-society and business continuity plans",172
"Crisis management plans","L2-L3","Financial aid for health system",39
