"Measure_L1","Measure_L2","Measure_L3","Measure_L4"
"Case identification, contact tracing and related measures","Activate case notification","Covid-19 as a notifiable disease",""
"Case identification, contact tracing and related measures","Activate case notification","Covid-19 as a notifiable disease","Guidance for sample Collection, Packaging and Transportation for Novel Coronavirus"
"Case identification, contact tracing and related measures","Activate case notification","Covid-19 as a notifiable disease","Infection Protection Act"
"Case identification, contact tracing and related measures","Activate case notification","Mandatory report of test results by laboratories",""
"Case identification, contact tracing and related measures","Activate case notification","Speed notification",""
"Case identification, contact tracing and related measures","Airport health check","Health certificate requested at airport","all countries"
"Case identification, contact tracing and related measures","Airport health check","Health certificate requested at airport","from Wuhan"
"Case identification, contact tracing and related measures","Airport health check","Health certificate requested at airport","Passengers from South Korea, Iran and Northern Italy need medical certificate to enter Austria"
"Case identification, contact tracing and related measures","Airport health check","Health certificate requested at airport","Passengers travelling from /having visited Italy or Republic of Korea and desirous of entering India will need certificate of having tested negative for COVID-19"
"Case identification, contact tracing and related measures","Airport health check","Health certificate requested at airport","Philippines, India, Bangladesh, Egypt, Syria, Azerbaijan, Turkey, Sri Lanka, Georgia and Lebanon."
"Case identification, contact tracing and related measures","Airport health check","Health certificate requested at airport","Specify country/countries or ""undefined"""
"Case identification, contact tracing and related measures","Airport health check","Health certificate requested at airport","Travelers from China, Hong Kong, Macau, Korea, The Republic of Italy, The Islamic Republic of Iran"
"Case identification, contact tracing and related measures","Airport health check","Health certificate requested at airport","Travellers from China"
"Case identification, contact tracing and related measures","Airport health check","Health questionnaire in the plane or at the airport",""
"Case identification, contact tracing and related measures","Airport health check","Health questionnaire in the plane or at the airport","All airports"
"Case identification, contact tracing and related measures","Airport health check","Health questionnaire in the plane or at the airport","All passengers"
"Case identification, contact tracing and related measures","Airport health check","Health questionnaire in the plane or at the airport","All passengers and crew"
"Case identification, contact tracing and related measures","Airport health check","Health questionnaire in the plane or at the airport","All travellers from Mainland China, Hong Kong and Macao"
"Case identification, contact tracing and related measures","Airport health check","Health questionnaire in the plane or at the airport","Passengers and crew"
"Case identification, contact tracing and related measures","Airport health check","Health questionnaire in the plane or at the airport","Passengers arriving from central China."
"Case identification, contact tracing and related measures","Airport health check","Health questionnaire in the plane or at the airport","Questionnaire on personal information"
"Case identification, contact tracing and related measures","Airport health check","Health questionnaire in the plane or at the airport","Travellers from China"
"Case identification, contact tracing and related measures","Airport health check","Health screening at the airport",""
"Case identification, contact tracing and related measures","Airport health check","Health screening at the airport","All incoming nationals"
"Case identification, contact tracing and related measures","Airport health check","Health screening at the airport","All incomings"
"Case identification, contact tracing and related measures","Airport health check","Health screening at the airport","All travellers from Mainland China, Hong Kong and Macao"
"Case identification, contact tracing and related measures","Airport health check","Health screening at the airport","Citizens who have a travel history to China"
"Case identification, contact tracing and related measures","Airport health check","Health screening at the airport","Extention of the measure from 12/2/2020 to travellers from Iran, Italy, South Korea and Japan"
"Case identification, contact tracing and related measures","Airport health check","Health screening at the airport","From high-risk areas"
"Case identification, contact tracing and related measures","Airport health check","Health screening at the airport","Health screening of all passengers"
"Case identification, contact tracing and related measures","Airport health check","Health screening at the airport","Health screening of passengers from China, South Korea, Japan, Iran, Italy, Hong Kong, Macau, Vietnam, Malaysia, Indonesia, Nepal, Thailand, Singapore and Taiwan"
"Case identification, contact tracing and related measures","Airport health check","Health screening at the airport","Medical assistance for people with respiratory symptoms"
"Case identification, contact tracing and related measures","Airport health check","Health screening at the airport","Special management of incomings with symptoms"
"Case identification, contact tracing and related measures","Airport health check","Health screening at the airport","Standard Operating Procedure for Passenger Movement post Disembarkation is announced"
"Case identification, contact tracing and related measures","Airport health check","Health screening at the airport","Symptomatic + travel history in Wuhan"
"Case identification, contact tracing and related measures","Airport health check","Health screening at the airport","Symptomatic passengers from China"
"Case identification, contact tracing and related measures","Airport health check","Specific health channel for travellers"," Symptomatic air passengers from Spain, France, UK, Germany, Netherlands"
"Case identification, contact tracing and related measures","Airport health check","Specific health channel for travellers","Air passengers arriving from affected areas"
"Case identification, contact tracing and related measures","Airport health check","Specific health channel for travellers","Air passengers arriving from China, Hong Kong and Macao"
"Case identification, contact tracing and related measures","Airport health check","Specific health channel for travellers","Air passengers arriving from China, South Korea, Japan, Iran or Italy"
"Case identification, contact tracing and related measures","Airport health check","Specific health channel for travellers","Air passengers arriving from Wuhan"
"Case identification, contact tracing and related measures","Airport health check","Specific health channel for travellers","All foreigners air passengers"
"Case identification, contact tracing and related measures","Airport health check","Specific health channel for travellers","Chinese air passengers with a passport issued in Hubei"
"Case identification, contact tracing and related measures","Airport health check","Specific health channel for travellers","National passengers arriving from China"
"Case identification, contact tracing and related measures","Airport health check","Specific health channel for travellers","Symptomatic air passengers from Europe"
"Case identification, contact tracing and related measures","Airport health check","Specific health channel for travellers","Symptomatic air passengers from Italy and Iran"
"Case identification, contact tracing and related measures","Airport health check","Specific health channel for travellers","Symptomatic air passengers with a travel history to Wuhan"
"Case identification, contact tracing and related measures","Airport health check","Temperature screening at airport","Measure temperature of all passengers"
"Case identification, contact tracing and related measures","Airport health check","Temperature screening at airport","Measure temperature of passengers from China"
"Case identification, contact tracing and related measures","Airport health check","Temperature screening at airport","Measure temperature of passengers from Egypt and Syria"
"Case identification, contact tracing and related measures","Airport health check","Temperature screening at airport","Measure temperature of passengers from Hong Kong, Macau, South Korea and Taiwan"
"Case identification, contact tracing and related measures","Airport health check","Temperature screening at airport","Measure temperature of passengers from Hubei"
"Case identification, contact tracing and related measures","Airport health check","Temperature screening at airport","Measure temperature of passengers from Iran and South Korea"
"Case identification, contact tracing and related measures","Airport health check","Temperature screening at airport","Measure temperature of passengers from Italy"
"Case identification, contact tracing and related measures","Airport health check","Temperature screening at airport","Measure temperature of passengers from Japan and Singapore"
"Case identification, contact tracing and related measures","Airport health check","Temperature screening at airport","Measure temperature of passengers from Northern Italy"
"Case identification, contact tracing and related measures","Airport health check","Temperature screening at airport","Measure temperature of passengers from South Korea"
"Case identification, contact tracing and related measures","Airport health check","Temperature screening at airport","Measure temperature of passengers from Wuhan"
"Case identification, contact tracing and related measures","Airport health check","Temperature screening at airport","Self-screening of the temperature by the passengers"
"Case identification, contact tracing and related measures","Airport health check","Test travellers with fever or symptoms",""
"Case identification, contact tracing and related measures","Airport health check","Test travellers with fever or symptoms","All incomings"
"Case identification, contact tracing and related measures","Airport health check","Test travellers with fever or symptoms","All incomings with symptoms"
"Case identification, contact tracing and related measures","Airport health check","Test travellers with fever or symptoms","Singapore citizens on all flights"
"Case identification, contact tracing and related measures","Airport health check","Test travellers with fever or symptoms","Testing at quarantine station"
"Case identification, contact tracing and related measures","Airport health check","Test travellers with fever or symptoms","Travellers from Syria and Egypt"
"Case identification, contact tracing and related measures","Border health check","Health certificate requested to enter the country","All incoming"
"Case identification, contact tracing and related measures","Border health check","Health certificate requested to enter the country","ASEAN countries"
"Case identification, contact tracing and related measures","Border health check","Health certificate requested to enter the country","Health certificate for all travellers"
"Case identification, contact tracing and related measures","Border health check","Health certificate requested to enter the country","Health certificate for travellers from China"
"Case identification, contact tracing and related measures","Border health check","Health certificate requested to enter the country","non-citizens"
"Case identification, contact tracing and related measures","Border health check","Health certificate requested to enter the country","People from Italy"
"Case identification, contact tracing and related measures","Border health check","Health certificate requested to enter the country","Specify country/countries or ""undefined"""
"Case identification, contact tracing and related measures","Border health check","Health questionnaire at the border","All incomings by air, maritime and terrestrial ways"
"Case identification, contact tracing and related measures","Border health check","Health questionnaire at the border","At departure"
"Case identification, contact tracing and related measures","Border health check","Health questionnaire at the border","At train station connected with mainland China"
"Case identification, contact tracing and related measures","Border health check","Health questionnaire at the border","For international cruise/merchandise boat personal"
"Case identification, contact tracing and related measures","Border health check","Health questionnaire at the border","Health declaration"
"Case identification, contact tracing and related measures","Border health check","Health questionnaire at the border","Land border with Columbia"
"Case identification, contact tracing and related measures","Border health check","Health questionnaire at the border","Travellers from infected areas"
"Case identification, contact tracing and related measures","Border health check","Health questionnaire at the border","Travellers from Italy"
"Case identification, contact tracing and related measures","Border health check","Health screening at the border","All foreigners"
"Case identification, contact tracing and related measures","Border health check","Health screening at the border","All incomings by air and terrestrial ways"
"Case identification, contact tracing and related measures","Border health check","Health screening at the border","All incomings by air, maritime and terrestrial ways"
"Case identification, contact tracing and related measures","Border health check","Health screening at the border","All persons crossing the border (Mobile clinic)"
"Case identification, contact tracing and related measures","Border health check","Health screening at the border","Health check of citizens coming from infected areas"
"Case identification, contact tracing and related measures","Border health check","Health screening at the border","Health check of people comings from Veneto and Lombardy"
"Case identification, contact tracing and related measures","Border health check","Health screening at the border","Incomings from Wuhan City (Hubei Province, China)"
"Case identification, contact tracing and related measures","Border health check","Temperature screening at the border",""
"Case identification, contact tracing and related measures","Border health check","Temperature screening at the border","at border with Italy"
"Case identification, contact tracing and related measures","Border health check","Temperature screening at the border","compulsory temperature checking"
"Case identification, contact tracing and related measures","Border health check","Temperature screening at the border","Incomings from China"
"Case identification, contact tracing and related measures","Border health check","Temperature screening at the border","Temperature screening at ports"
"Case identification, contact tracing and related measures","Border health check","Temperature screening at the border","Train from Wuhan"
"Case identification, contact tracing and related measures","Border health check","Temperature screening at the border","Travellers from Wuhan"
"Case identification, contact tracing and related measures","Border health check","Test at the border",""
"Case identification, contact tracing and related measures","Border health check","Test at the border","All incomings"
"Case identification, contact tracing and related measures","Border health check","Test at the border","all travellers"
"Case identification, contact tracing and related measures","Border health check","Test at the border","Asylum seekers"
"Case identification, contact tracing and related measures","Border health check","Test at the border","For citizens"
"Case identification, contact tracing and related measures","Border health check","Test at the border","Incoming from Europe"
"Case identification, contact tracing and related measures","Border health check","Test at the border","Incoming from USA"
"Case identification, contact tracing and related measures","Border health check","Test at the border","International arrivals"
"Case identification, contact tracing and related measures","Border health check","Test at the border","Italy"
"Case identification, contact tracing and related measures","Border health check","Test at the border","Travellers entering Singapore and exhibiting fever and/or other symptoms of respiratory illness"
