"","Measure_L1","Measure_L2"
"1","Travel restriction","Border restriction"
"2","Travel restriction","Cancellation of international flights"
"6","Social distancing","Closure of educational institutions"
"9","Risk communication","Educate and actively communicate with the public"
"11","Healthcare and public health capacity","Enhance healthcare capacity - Funds"
"13","Case identification, contact tracing and related measures","Enhance detection system"
"14","Social distancing","Mass gathering cancellation"
"15","Social distancing","Small gathering cancellation"
"24","Travel restriction","National lockdown"
"25","Healthcare and public health capacity","Scale up emergency response mechanisms"
"26","Case identification, contact tracing and related measures","Specific health channel for travellers"
"27","Travel restriction","Stop public transports"
"28","Travel restriction","Individual movement restrictions"
"32","Case identification, contact tracing and related measures","Airport health check"
"34","Healthcare and public health capacity","Activate notification of cases"
"36","Case identification, contact tracing and related measures","Isolation of cases"
"38","Social distancing","Return operation of nationals living in regions at risk"
"42","Healthcare and public health capacity","Enhance emergency response mechanisms"
"43","Risk communication","Actively communicate with stakeholders"
"47","Healthcare and public health capacity","Activate emergency response mechanisms"
"48","Risk communication","Actively communicate with healthcare professionals"
"53","Healthcare and public health capacity","Enhance laboratory testing"
"58","Risk communication","Travel alert"
"61","Travel restriction","Travel restriction to high-risk areas"
"63","Travel restriction","Airport restriction"
"65","Risk communication","Call for return of nationals living abroad"
"66","Case identification, contact tracing and related measures","Border health check"
"73","Resource allocation","Crisis management plans"
"77","Social distancing","Measures for special populations"
"82","Travel restriction","Cordon sanitaire"
"84","Healthcare and public health capacity","Increase patient capacity"
"100","Case identification, contact tracing and related measures","Quarantine"
"103","Social distancing","Return operation of nationals abroad"
"109","Healthcare and public health capacity","Increase availability of PPE"
"114","Social distancing","Mandatory use of masks"
"119","Returning to normal life","Re-opening of shops"
"136","Travel restriction","Non-essential travels forbidden"
"144","Case identification, contact tracing and related measures","Tracing and monitoring"
"182","Healthcare and public health capacity","Reduce the burden on health system"
"194","Healthcare and public health capacity","Research"
"195","Travel restriction","Denial entry to boats with more than 100 passengers"
"201","Resource allocation","Fixing maximum price for necessity goods"
"250","Social distancing","Special measures for certain establishments"
"273","Social distancing","Work safety protocols"
"288","Healthcare and public health capacity","Increase in medical supplies and equipment"
"292","Case identification, contact tracing and related measures","Surveillance"
"342","Environmental measures","Environmental cleaning and disinfection"
"352","Healthcare and public health capacity","Case management"
"435","Healthcare and public health capacity","Repurpose hospitals"
"461","Social distancing","Public transport"
"469","Travel restriction","Train transport restrictions"
"488","Case identification, contact tracing and related measures","Scale up the system"
"489","Returning to normal life","Lift quarantine"
"498","Travel restriction","Airports closing for domestic flights"
"516","Case identification, contact tracing and related measures","Treatment of patients should not be compromised"
"529","Healthcare and public health capacity","Precautions for handling and disposal of dead bodies"
"554","Returning to normal life","Reactivate the economy"
"633","Travel restriction","Airports closing for all international flights"
"649","Healthcare and public health capacity","Increase healthcare workforce"
"659","Travel restriction","Outgoing oversea travel ban"
"710","Resource allocation","Fixing price for specific protective products"
"815","Healthcare and public health capacity","Enhance hand hygiene"
"829","Resource allocation","Emergency laws"
"970","Resource allocation","The government provides food assistance"
"1135","Healthcare and public health capacity","Measures for blood donation"
"1186","Returning to normal life","Re-opening land border"
"1188","Resource allocation","Receive international help"
"1197","Resource allocation","Mobilize army and police to support application of laws related to covid-19 control"
"1205","Resource allocation","Provide international help"
"1372","Healthcare and public health capacity","Increase isolation and quarantine facilities"
"1420","Case identification, contact tracing and related measures","Health check at train stations"
"1501","Resource allocation","Enforce lockdown"
"1633","Travel restriction","Denial entry of travellers from China"
"1640","Travel restriction","Deportation of Chinese nationals"
"1997","Resource allocation","Setting price for specific protective products"
"2355","Travel restriction","Partial cancellation of international flights"
"2394","Travel restriction","Commercial flights suspended"
"2412","Resource allocation","Administrative procedures facilitated"
"2430","Travel restriction","Restriction of freight transport"
"2442","Resource allocation","Ban export of necessity goods"
"2664","Case identification, contact tracing and related measures","Restriction in testing"
"2807","Travel restriction","Outgoing domestic travel ban"
